aircraftId|airlineId|airlineCode|aircraftModel|aircraftStatus
A30056|AL0000|A3|Airbus A330|ACTIVE
A30057|AL0000|A3|Boeing 727|ACTIVE
A30058|AL0000|A3|Airbus A330|ACTIVE
A30059|AL0000|A3|Boeing 707|INACTIVE
A30060|AL0000|A3|Boeing 787|ACTIVE
A30061|AL0000|A3|Airbus A300|INACTIVE
A30062|AL0000|A3|Boeing 727|INACTIVE
A30063|AL0000|A3|Airbus A321|ACTIVE
A30064|AL0000|A3|Airbus A340|ACTIVE
A30065|AL0000|A3|Airbus A330|ACTIVE
A30066|AL0000|A3|Boeing 737|ACTIVE
A30067|AL0000|A3|Airbus A320|INACTIVE
A30068|AL0000|A3|Boeing 737|INACTIVE
A30069|AL0000|A3|Boeing 737|ACTIVE
A30070|AL0000|A3|Airbus A330|ACTIVE
A30071|AL0000|A3|Airbus A340|ACTIVE
A30072|AL0000|A3|Boeing 747|ACTIVE
A30073|AL0000|A3|Boeing 717|INACTIVE
A30074|AL0000|A3|Airbus A319|INACTIVE
A30075|AL0000|A3|Airbus A330|ACTIVE
A30076|AL0000|A3|Airbus A300|ACTIVE
A30077|AL0000|A3|Airbus A321|INACTIVE
A30078|AL0000|A3|Airbus A350 XWB|ACTIVE
A30079|AL0000|A3|Boeing 747|ACTIVE
A30080|AL0000|A3|Boeing 727|ACTIVE
A30081|AL0000|A3|Airbus A321|ACTIVE
A30082|AL0000|A3|Airbus A340|ACTIVE
A30083|AL0000|A3|Airbus A380|INACTIVE
A30084|AL0000|A3|Boeing 727|ACTIVE
A30085|AL0000|A3|Airbus A310|ACTIVE
A30086|AL0000|A3|Boeing 787|INACTIVE
A30087|AL0000|A3|Boeing 707|ACTIVE
A30088|AL0000|A3|Airbus A300|INACTIVE
A30089|AL0000|A3|Airbus A340|ACTIVE
A30090|AL0000|A3|Airbus A321|ACTIVE
A30091|AL0000|A3|Airbus A318|INACTIVE
A30092|AL0000|A3|Airbus A340|INACTIVE
A30093|AL0000|A3|Airbus A321|ACTIVE
A30094|AL0000|A3|Airbus A340|INACTIVE
A30095|AL0000|A3|Boeing 737|INACTIVE
A30096|AL0000|A3|Airbus A350 XWB|ACTIVE
A30097|AL0000|A3|Boeing 767|ACTIVE
A30098|AL0000|A3|Airbus A340|ACTIVE
A30099|AL0000|A3|Boeing 707|ACTIVE
A30100|AL0000|A3|Boeing 747|INACTIVE
A30101|AL0000|A3|Boeing 757|ACTIVE
A30102|AL0000|A3|Airbus A340|ACTIVE
A30103|AL0000|A3|Boeing 737|INACTIVE
A30104|AL0000|A3|Boeing 787|INACTIVE
A30105|AL0000|A3|Boeing 717|ACTIVE
A30106|AL0000|A3|Boeing 787|ACTIVE
A30107|AL0000|A3|Airbus A350 XWB|ACTIVE
A30108|AL0000|A3|Airbus A310|ACTIVE
A30109|AL0000|A3|Airbus A319|ACTIVE
A30110|AL0000|A3|Airbus A321|ACTIVE
A30111|AL0000|A3|Boeing 767|ACTIVE
A30112|AL0000|A3|Airbus A330|INACTIVE
A30113|AL0000|A3|Airbus A340|INACTIVE
A30114|AL0000|A3|Airbus A350 XWB|ACTIVE
A30115|AL0000|A3|Boeing 787|INACTIVE
A30116|AL0000|A3|Boeing 727|INACTIVE
A30117|AL0000|A3|Airbus A380|ACTIVE
A30118|AL0000|A3|Boeing 747|INACTIVE
A30119|AL0000|A3|Airbus A319|ACTIVE
A30120|AL0000|A3|Airbus A310|ACTIVE
A30121|AL0000|A3|Airbus A380|INACTIVE
A30122|AL0000|A3|Boeing 767|ACTIVE
A30123|AL0000|A3|Airbus A319|ACTIVE
A30124|AL0000|A3|Airbus A321|ACTIVE
A30125|AL0000|A3|Airbus A318|ACTIVE
A30126|AL0000|A3|Boeing 707|ACTIVE
A30127|AL0000|A3|Boeing 717|INACTIVE
A30128|AL0000|A3|Airbus A319|ACTIVE
A30129|AL0000|A3|Airbus A319|ACTIVE
A30130|AL0000|A3|Airbus A330|ACTIVE
A30131|AL0000|A3|Airbus A300|ACTIVE
A30132|AL0000|A3|Airbus A320|ACTIVE
A30133|AL0000|A3|Airbus A380|INACTIVE
A30134|AL0000|A3|Airbus A340|INACTIVE
A30135|AL0000|A3|Boeing 707|ACTIVE
A30136|AL0000|A3|Airbus A310|INACTIVE
A30137|AL0000|A3|Airbus A318|ACTIVE
A30138|AL0000|A3|Airbus A321|ACTIVE
A30139|AL0000|A3|Airbus A340|ACTIVE
A30140|AL0000|A3|Airbus A330|INACTIVE
A30141|AL0000|A3|Airbus A320|ACTIVE
A30142|AL0000|A3|Boeing 717|ACTIVE
A30143|AL0000|A3|Airbus A380|INACTIVE
A30144|AL0000|A3|Boeing 727|ACTIVE
A30145|AL0000|A3|Airbus A310|INACTIVE
A30146|AL0000|A3|Airbus A320|ACTIVE
A30147|AL0000|A3|Airbus A340|ACTIVE
A30148|AL0000|A3|Airbus A319|INACTIVE
A30149|AL0000|A3|Airbus A318|ACTIVE
A30150|AL0000|A3|Airbus A300|ACTIVE
A30151|AL0000|A3|Airbus A318|INACTIVE
A30152|AL0000|A3|Airbus A330|ACTIVE
A30153|AL0000|A3|Boeing 727|ACTIVE
A30154|AL0000|A3|Boeing 737|ACTIVE
A30155|AL0000|A3|Airbus A380|ACTIVE
A30156|AL0000|A3|Airbus A321|ACTIVE
A30157|AL0000|A3|Boeing 737|INACTIVE
A30158|AL0000|A3|Boeing 727|INACTIVE
A30159|AL0000|A3|Boeing 717|ACTIVE
A30160|AL0000|A3|Boeing 737|INACTIVE
A30161|AL0000|A3|Airbus A319|ACTIVE
A30162|AL0000|A3|Airbus A330|ACTIVE
A30163|AL0000|A3|Boeing 717|ACTIVE
A30164|AL0000|A3|Boeing 747|INACTIVE
A30165|AL0000|A3|Boeing 777|ACTIVE
A30166|AL0000|A3|Airbus A300|INACTIVE
A30167|AL0000|A3|Boeing 737|ACTIVE
A30168|AL0000|A3|Airbus A321|ACTIVE
A30169|AL0000|A3|Boeing 727|INACTIVE
A30170|AL0000|A3|Airbus A320|INACTIVE
A30171|AL0000|A3|Airbus A350 XWB|ACTIVE
A30172|AL0000|A3|Airbus A380|INACTIVE
A30173|AL0000|A3|Boeing 787|ACTIVE
A30174|AL0000|A3|Airbus A300|ACTIVE
A30175|AL0000|A3|Airbus A340|ACTIVE
A30176|AL0000|A3|Airbus A380|ACTIVE
A30177|AL0000|A3|Boeing 777|ACTIVE
A30178|AL0000|A3|Boeing 767|ACTIVE
A30179|AL0000|A3|Boeing 787|INACTIVE
A30180|AL0000|A3|Boeing 777|ACTIVE
A30181|AL0000|A3|Boeing 717|INACTIVE
A30182|AL0000|A3|Airbus A330|ACTIVE
A30183|AL0000|A3|Airbus A318|ACTIVE
A30184|AL0000|A3|Boeing 707|INACTIVE
A30185|AL0000|A3|Airbus A380|ACTIVE
A30186|AL0000|A3|Boeing 727|ACTIVE
A30187|AL0000|A3|Boeing 747|ACTIVE
A30188|AL0000|A3|Airbus A380|ACTIVE
A30189|AL0000|A3|Airbus A321|ACTIVE
A30190|AL0000|A3|Boeing 717|INACTIVE
A30191|AL0000|A3|Boeing 767|ACTIVE
A30192|AL0000|A3|Airbus A318|ACTIVE
A30193|AL0000|A3|Airbus A321|INACTIVE
A30194|AL0000|A3|Boeing 747|INACTIVE
A30195|AL0000|A3|Boeing 727|ACTIVE
A30196|AL0000|A3|Boeing 777|ACTIVE
A30197|AL0000|A3|Airbus A320|INACTIVE
A30198|AL0000|A3|Boeing 717|ACTIVE
A30199|AL0000|A3|Airbus A340|INACTIVE
A30200|AL0000|A3|Boeing 717|ACTIVE
A30201|AL0000|A3|Boeing 757|ACTIVE
A30202|AL0000|A3|Boeing 777|ACTIVE
A30203|AL0000|A3|Airbus A321|INACTIVE
A30204|AL0000|A3|Boeing 727|ACTIVE
A30205|AL0000|A3|Boeing 717|ACTIVE
A30206|AL0000|A3|Boeing 777|INACTIVE
A30207|AL0000|A3|Boeing 757|ACTIVE
A30208|AL0000|A3|Airbus A330|ACTIVE
A30209|AL0000|A3|Boeing 757|INACTIVE
A30210|AL0000|A3|Boeing 787|ACTIVE
A30211|AL0000|A3|Airbus A330|ACTIVE
A30212|AL0000|A3|Boeing 737|ACTIVE
A30213|AL0000|A3|Boeing 767|ACTIVE
A30214|AL0000|A3|Airbus A310|INACTIVE
A30215|AL0000|A3|Boeing 707|INACTIVE
A30216|AL0000|A3|Airbus A321|ACTIVE
A30217|AL0000|A3|Airbus A300|ACTIVE
A30218|AL0000|A3|Boeing 777|ACTIVE
A30219|AL0000|A3|Boeing 767|ACTIVE
A30220|AL0000|A3|Airbus A350 XWB|ACTIVE
A30221|AL0000|A3|Boeing 757|ACTIVE
A30222|AL0000|A3|Airbus A340|ACTIVE
A30223|AL0000|A3|Airbus A380|INACTIVE
A30224|AL0000|A3|Airbus A330|INACTIVE
A30225|AL0000|A3|Boeing 737|ACTIVE
A30226|AL0000|A3|Airbus A350 XWB|INACTIVE
A30227|AL0000|A3|Boeing 707|ACTIVE
A30228|AL0000|A3|Airbus A318|ACTIVE
A30229|AL0000|A3|Airbus A310|INACTIVE
A30230|AL0000|A3|Airbus A380|INACTIVE
A30231|AL0000|A3|Airbus A310|ACTIVE
A30232|AL0000|A3|Boeing 787|ACTIVE
A30233|AL0000|A3|Airbus A320|ACTIVE
A30234|AL0000|A3|Airbus A300|ACTIVE
A30235|AL0000|A3|Airbus A330|INACTIVE
A30236|AL0000|A3|Airbus A350 XWB|INACTIVE
A30237|AL0000|A3|Airbus A340|ACTIVE
A30238|AL0000|A3|Airbus A330|ACTIVE
A30239|AL0000|A3|Boeing 747|ACTIVE
A30240|AL0000|A3|Boeing 717|ACTIVE
A30241|AL0000|A3|Airbus A320|ACTIVE
A30242|AL0000|A3|Airbus A318|INACTIVE
A30243|AL0000|A3|Airbus A320|ACTIVE
A30244|AL0000|A3|Boeing 717|INACTIVE
A30245|AL0000|A3|Boeing 777|INACTIVE
EI0000|AL0001|EI|Boeing 707|ACTIVE
EI0001|AL0001|EI|Boeing 707|ACTIVE
EI0002|AL0001|EI|Airbus A350 XWB|INACTIVE
EI0003|AL0001|EI|Airbus A318|ACTIVE
EI0004|AL0001|EI|Airbus A380|INACTIVE
EI0005|AL0001|EI|Airbus A340|ACTIVE
EI0006|AL0001|EI|Airbus A310|ACTIVE
EI0007|AL0001|EI|Airbus A340|ACTIVE
EI0008|AL0001|EI|Boeing 707|ACTIVE
EI0009|AL0001|EI|Airbus A300|ACTIVE
EI0010|AL0001|EI|Airbus A380|ACTIVE
EI0011|AL0001|EI|Airbus A310|ACTIVE
EI0012|AL0001|EI|Boeing 767|ACTIVE
EI0013|AL0001|EI|Airbus A318|INACTIVE
EI0014|AL0001|EI|Airbus A330|ACTIVE
EI0015|AL0001|EI|Airbus A380|ACTIVE
EI0016|AL0001|EI|Boeing 717|INACTIVE
EI0017|AL0001|EI|Airbus A340|INACTIVE
EI0018|AL0001|EI|Boeing 767|ACTIVE
EI0019|AL0001|EI|Airbus A380|INACTIVE
EI0020|AL0001|EI|Airbus A350 XWB|INACTIVE
EI0021|AL0001|EI|Airbus A330|ACTIVE
EI0022|AL0001|EI|Boeing 767|INACTIVE
EI0023|AL0001|EI|Boeing 767|INACTIVE
EI0024|AL0001|EI|Boeing 757|ACTIVE
EI0025|AL0001|EI|Airbus A319|INACTIVE
EI0026|AL0001|EI|Boeing 717|ACTIVE
EI0027|AL0001|EI|Airbus A300|ACTIVE
EI0028|AL0001|EI|Airbus A318|ACTIVE
EI0029|AL0001|EI|Boeing 727|ACTIVE
EI0030|AL0001|EI|Airbus A350 XWB|ACTIVE
EI0031|AL0001|EI|Boeing 727|ACTIVE
EI0032|AL0001|EI|Airbus A321|INACTIVE
EI0033|AL0001|EI|Airbus A310|ACTIVE
EI0034|AL0001|EI|Airbus A320|INACTIVE
EI0035|AL0001|EI|Airbus A318|INACTIVE
EI0036|AL0001|EI|Boeing 767|ACTIVE
EI0037|AL0001|EI|Boeing 767|ACTIVE
EI0038|AL0001|EI|Boeing 767|ACTIVE
EI0039|AL0001|EI|Airbus A319|ACTIVE
EI0040|AL0001|EI|Boeing 757|ACTIVE
EI0041|AL0001|EI|Boeing 747|INACTIVE
EI0042|AL0001|EI|Airbus A380|ACTIVE
EI0043|AL0001|EI|Airbus A319|INACTIVE
EI0044|AL0001|EI|Airbus A380|ACTIVE
EI0045|AL0001|EI|Airbus A340|ACTIVE
EI0046|AL0001|EI|Boeing 757|ACTIVE
EI0047|AL0001|EI|Airbus A340|INACTIVE
EI0048|AL0001|EI|Airbus A320|ACTIVE
EI0049|AL0001|EI|Airbus A321|ACTIVE
EI0050|AL0001|EI|Airbus A380|ACTIVE
EI0051|AL0001|EI|Airbus A320|ACTIVE
EI0052|AL0001|EI|Airbus A330|ACTIVE
EI0053|AL0001|EI|Boeing 707|INACTIVE
EI0054|AL0001|EI|Airbus A318|ACTIVE
EI0055|AL0001|EI|Airbus A318|INACTIVE
EI0056|AL0001|EI|Airbus A320|INACTIVE
EI0057|AL0001|EI|Airbus A319|ACTIVE
EI0058|AL0001|EI|Airbus A330|INACTIVE
EI0059|AL0001|EI|Boeing 787|ACTIVE
EI0060|AL0001|EI|Boeing 777|ACTIVE
EI0061|AL0001|EI|Airbus A380|INACTIVE
EI0062|AL0001|EI|Boeing 737|INACTIVE
EI0063|AL0001|EI|Airbus A380|ACTIVE
EI0064|AL0001|EI|Boeing 717|INACTIVE
EI0065|AL0001|EI|Airbus A319|ACTIVE
EI0066|AL0001|EI|Boeing 737|ACTIVE
EI0067|AL0001|EI|Boeing 787|ACTIVE
EI0068|AL0001|EI|Boeing 757|INACTIVE
EI0069|AL0001|EI|Airbus A300|ACTIVE
EI0070|AL0001|EI|Boeing 767|INACTIVE
EI0071|AL0001|EI|Boeing 737|INACTIVE
EI0072|AL0001|EI|Airbus A340|ACTIVE
EI0073|AL0001|EI|Boeing 717|INACTIVE
EI0074|AL0001|EI|Airbus A310|ACTIVE
EI0075|AL0001|EI|Boeing 757|ACTIVE
EI0076|AL0001|EI|Airbus A318|INACTIVE
EI0077|AL0001|EI|Airbus A380|INACTIVE
EI0078|AL0001|EI|Boeing 727|ACTIVE
EI0079|AL0001|EI|Boeing 707|ACTIVE
EI0080|AL0001|EI|Boeing 717|ACTIVE
EI0081|AL0001|EI|Boeing 777|ACTIVE
EI0082|AL0001|EI|Boeing 717|ACTIVE
EI0083|AL0001|EI|Boeing 777|INACTIVE
EI0084|AL0001|EI|Boeing 707|ACTIVE
EI0085|AL0001|EI|Airbus A380|ACTIVE
EI0086|AL0001|EI|Boeing 737|INACTIVE
EI0087|AL0001|EI|Airbus A320|ACTIVE
EI0088|AL0001|EI|Airbus A321|INACTIVE
EI0089|AL0001|EI|Airbus A321|ACTIVE
EI0090|AL0001|EI|Airbus A320|ACTIVE
EI0091|AL0001|EI|Boeing 727|INACTIVE
EI0092|AL0001|EI|Airbus A330|ACTIVE
EI0093|AL0001|EI|Airbus A340|ACTIVE
EI0094|AL0001|EI|Boeing 737|INACTIVE
EI0095|AL0001|EI|Airbus A350 XWB|INACTIVE
EI0096|AL0001|EI|Airbus A320|ACTIVE
EI0097|AL0001|EI|Boeing 707|INACTIVE
EI0098|AL0001|EI|Airbus A320|ACTIVE
EI0099|AL0001|EI|Airbus A310|ACTIVE
EI0100|AL0001|EI|Airbus A340|ACTIVE
EI0101|AL0001|EI|Airbus A380|INACTIVE
EI0102|AL0001|EI|Airbus A318|ACTIVE
EI0103|AL0001|EI|Boeing 717|ACTIVE
EI0104|AL0001|EI|Boeing 717|ACTIVE
EI0105|AL0001|EI|Boeing 767|ACTIVE
EI0106|AL0001|EI|Boeing 727|INACTIVE
EI0107|AL0001|EI|Airbus A319|ACTIVE
EI0108|AL0001|EI|Boeing 717|ACTIVE
EI0109|AL0001|EI|Airbus A320|INACTIVE
EI0110|AL0001|EI|Airbus A300|INACTIVE
EI0111|AL0001|EI|Airbus A320|ACTIVE
EI0112|AL0001|EI|Airbus A318|INACTIVE
EI0113|AL0001|EI|Boeing 727|INACTIVE
EI0114|AL0001|EI|Boeing 747|ACTIVE
EI0115|AL0001|EI|Airbus A380|ACTIVE
EI0116|AL0001|EI|Airbus A318|ACTIVE
EI0117|AL0001|EI|Boeing 777|ACTIVE
EI0118|AL0001|EI|Airbus A300|ACTIVE
EI0119|AL0001|EI|Airbus A320|ACTIVE
EI0120|AL0001|EI|Boeing 757|ACTIVE
EI0121|AL0001|EI|Airbus A321|ACTIVE
EI0122|AL0001|EI|Boeing 767|ACTIVE
EI0123|AL0001|EI|Boeing 717|ACTIVE
EI0124|AL0001|EI|Boeing 747|ACTIVE
EI0125|AL0001|EI|Airbus A321|ACTIVE
EI0126|AL0001|EI|Boeing 757|ACTIVE
EI0127|AL0001|EI|Airbus A310|INACTIVE
EI0128|AL0001|EI|Airbus A310|ACTIVE
EI0129|AL0001|EI|Boeing 707|ACTIVE
EI0130|AL0001|EI|Boeing 757|ACTIVE
EI0131|AL0001|EI|Airbus A310|INACTIVE
EI0132|AL0001|EI|Boeing 717|ACTIVE
EI0133|AL0001|EI|Airbus A350 XWB|ACTIVE
EI0134|AL0001|EI|Boeing 717|ACTIVE
EI0135|AL0001|EI|Airbus A340|ACTIVE
EI0136|AL0001|EI|Airbus A321|ACTIVE
EI0137|AL0001|EI|Boeing 767|ACTIVE
EI0138|AL0001|EI|Boeing 727|ACTIVE
EI0139|AL0001|EI|Boeing 757|INACTIVE
EI0140|AL0001|EI|Boeing 787|INACTIVE
EI0141|AL0001|EI|Airbus A300|ACTIVE
EI0142|AL0001|EI|Boeing 747|INACTIVE
EI0143|AL0001|EI|Boeing 717|INACTIVE
EI0144|AL0001|EI|Boeing 787|ACTIVE
EI0145|AL0001|EI|Boeing 777|INACTIVE
EI0146|AL0001|EI|Airbus A350 XWB|ACTIVE
EI0147|AL0001|EI|Boeing 747|ACTIVE
EI0148|AL0001|EI|Airbus A321|ACTIVE
EI0149|AL0001|EI|Airbus A321|ACTIVE
EI0150|AL0001|EI|Boeing 727|ACTIVE
EI0151|AL0001|EI|Boeing 767|INACTIVE
EI0152|AL0001|EI|Airbus A318|ACTIVE
EI0153|AL0001|EI|Boeing 787|ACTIVE
EI0154|AL0001|EI|Boeing 707|ACTIVE
EI0155|AL0001|EI|Boeing 747|ACTIVE
EI0156|AL0001|EI|Airbus A318|ACTIVE
EI0157|AL0001|EI|Airbus A330|ACTIVE
EI0158|AL0001|EI|Boeing 767|INACTIVE
EI0159|AL0001|EI|Boeing 747|ACTIVE
EI0160|AL0001|EI|Boeing 777|INACTIVE
EI0161|AL0001|EI|Boeing 747|INACTIVE
EI0162|AL0001|EI|Airbus A330|ACTIVE
EI0163|AL0001|EI|Boeing 737|INACTIVE
EI0164|AL0001|EI|Boeing 717|ACTIVE
EI0165|AL0001|EI|Boeing 787|ACTIVE
EI0166|AL0001|EI|Airbus A380|INACTIVE
EI0167|AL0001|EI|Airbus A300|INACTIVE
EI0168|AL0001|EI|Airbus A380|ACTIVE
EI0169|AL0001|EI|Airbus A318|ACTIVE
EI0170|AL0001|EI|Boeing 707|ACTIVE
EI0171|AL0001|EI|Airbus A300|ACTIVE
EI0172|AL0001|EI|Airbus A340|ACTIVE
EI0173|AL0001|EI|Boeing 787|INACTIVE
EI0174|AL0001|EI|Airbus A321|ACTIVE
EI0175|AL0001|EI|Boeing 737|INACTIVE
EI0176|AL0001|EI|Airbus A330|INACTIVE
EI0177|AL0001|EI|Boeing 787|ACTIVE
EI0178|AL0001|EI|Boeing 757|ACTIVE
EI0179|AL0001|EI|Boeing 757|ACTIVE
EI0180|AL0001|EI|Airbus A321|ACTIVE
EI0181|AL0001|EI|Boeing 777|INACTIVE
EI0182|AL0001|EI|Boeing 737|ACTIVE
EI0183|AL0001|EI|Airbus A340|ACTIVE
EI0184|AL0001|EI|Boeing 767|INACTIVE
EI0185|AL0001|EI|Airbus A318|ACTIVE
EI0186|AL0001|EI|Boeing 707|ACTIVE
EI0187|AL0001|EI|Airbus A380|ACTIVE
EI0188|AL0001|EI|Airbus A318|INACTIVE
EI0189|AL0001|EI|Airbus A310|ACTIVE
EI0190|AL0001|EI|Airbus A380|ACTIVE
EI0191|AL0001|EI|Boeing 727|INACTIVE
EI0192|AL0001|EI|Airbus A321|ACTIVE
EI0193|AL0001|EI|Airbus A321|INACTIVE
EI0194|AL0001|EI|Airbus A350 XWB|ACTIVE
EI0195|AL0001|EI|Airbus A300|ACTIVE
EI0196|AL0001|EI|Boeing 767|INACTIVE
EI0197|AL0001|EI|Airbus A321|ACTIVE
EI0198|AL0001|EI|Boeing 707|ACTIVE
EI0199|AL0001|EI|Airbus A300|ACTIVE
EI0200|AL0001|EI|Boeing 727|ACTIVE
EI0201|AL0001|EI|Airbus A380|ACTIVE
EI0202|AL0001|EI|Boeing 737|ACTIVE
EI0203|AL0001|EI|Airbus A319|ACTIVE
EI0204|AL0001|EI|Airbus A318|ACTIVE
EI0205|AL0001|EI|Boeing 717|INACTIVE
EI0206|AL0001|EI|Boeing 787|ACTIVE
EI0207|AL0001|EI|Airbus A300|ACTIVE
EI0208|AL0001|EI|Airbus A380|INACTIVE
SU0000|AL0002|SU|Airbus A350 XWB|ACTIVE
SU0001|AL0002|SU|Airbus A310|ACTIVE
SU0002|AL0002|SU|Boeing 767|ACTIVE
SU0003|AL0002|SU|Airbus A340|ACTIVE
SU0004|AL0002|SU|Airbus A318|INACTIVE
SU0005|AL0002|SU|Airbus A380|INACTIVE
SU0006|AL0002|SU|Airbus A350 XWB|ACTIVE
SU0007|AL0002|SU|Airbus A310|ACTIVE
SU0008|AL0002|SU|Airbus A319|ACTIVE
SU0009|AL0002|SU|Boeing 727|ACTIVE
SU0010|AL0002|SU|Boeing 747|ACTIVE
SU0011|AL0002|SU|Airbus A350 XWB|ACTIVE
SU0012|AL0002|SU|Airbus A321|ACTIVE
SU0013|AL0002|SU|Boeing 787|ACTIVE
SU0014|AL0002|SU|Airbus A300|INACTIVE
SU0015|AL0002|SU|Airbus A319|ACTIVE
SU0016|AL0002|SU|Airbus A330|INACTIVE
SU0017|AL0002|SU|Airbus A340|INACTIVE
SU0018|AL0002|SU|Boeing 767|ACTIVE
SU0019|AL0002|SU|Airbus A350 XWB|INACTIVE
SU0020|AL0002|SU|Airbus A330|INACTIVE
SU0021|AL0002|SU|Boeing 767|ACTIVE
SU0022|AL0002|SU|Airbus A340|INACTIVE
SU0023|AL0002|SU|Boeing 737|INACTIVE
SU0024|AL0002|SU|Boeing 757|ACTIVE
SU0025|AL0002|SU|Boeing 707|ACTIVE
SU0026|AL0002|SU|Boeing 707|INACTIVE
SU0027|AL0002|SU|Airbus A321|ACTIVE
SU0028|AL0002|SU|Boeing 737|INACTIVE
SU0029|AL0002|SU|Boeing 767|ACTIVE
SU0030|AL0002|SU|Airbus A330|ACTIVE
SU0031|AL0002|SU|Boeing 747|INACTIVE
SU0032|AL0002|SU|Boeing 747|ACTIVE
SU0033|AL0002|SU|Airbus A380|ACTIVE
SU0034|AL0002|SU|Airbus A319|INACTIVE
SU0035|AL0002|SU|Airbus A300|ACTIVE
SU0036|AL0002|SU|Airbus A319|ACTIVE
SU0037|AL0002|SU|Boeing 767|INACTIVE
SU0038|AL0002|SU|Airbus A321|ACTIVE
SU0039|AL0002|SU|Airbus A380|ACTIVE
SU0040|AL0002|SU|Airbus A320|ACTIVE
SU0041|AL0002|SU|Airbus A318|ACTIVE
SU0042|AL0002|SU|Airbus A310|ACTIVE
SU0043|AL0002|SU|Airbus A300|INACTIVE
SU0044|AL0002|SU|Airbus A320|ACTIVE
SU0045|AL0002|SU|Boeing 727|ACTIVE
SU0046|AL0002|SU|Airbus A310|ACTIVE
SU0047|AL0002|SU|Airbus A320|INACTIVE
SU0048|AL0002|SU|Airbus A321|ACTIVE
SU0049|AL0002|SU|Boeing 757|ACTIVE
SU0050|AL0002|SU|Airbus A318|ACTIVE
SU0051|AL0002|SU|Boeing 767|ACTIVE
SU0052|AL0002|SU|Airbus A320|ACTIVE
SU0053|AL0002|SU|Boeing 757|INACTIVE
SU0054|AL0002|SU|Airbus A340|ACTIVE
SU0055|AL0002|SU|Airbus A320|ACTIVE
SU0056|AL0002|SU|Airbus A320|ACTIVE
SU0057|AL0002|SU|Boeing 707|ACTIVE
SU0058|AL0002|SU|Airbus A380|ACTIVE
SU0059|AL0002|SU|Boeing 707|ACTIVE
SU0060|AL0002|SU|Airbus A321|ACTIVE
SU0061|AL0002|SU|Boeing 767|ACTIVE
SU0062|AL0002|SU|Boeing 747|ACTIVE
SU0063|AL0002|SU|Boeing 707|ACTIVE
SU0064|AL0002|SU|Airbus A330|ACTIVE
SU0065|AL0002|SU|Airbus A340|ACTIVE
