airlineId|aircraftId|model|status
AL0001|EI0048|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0123|AirBus A310|ACTIVE
AL0001|EI0123|AirBus A220|ACTIVE
AL0001|EI0213|AirBus A340|ACTIVE
AL0001|EI0216|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0101|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0001|Boeing 727|ACTIVE
AL0001|EI0049|AirBus A380|ACTIVE
AL0001|EI0211|Boeing 707|ACTIVE
AL0001|EI0002|AirBus A310|ACTIVE
AL0001|EI0231|Boeing 757|ACTIVE
AL0001|EI0017|AirBus A340|ACTIVE
AL0001|EI0163|AirBus A330neo|ACTIVE
AL0001|EI0092|Boeing 767|ACTIVE
AL0001|EI0145|AirBus A330|ACTIVE
AL0001|EI0293|AirBus A340|ACTIVE
AL0001|EI0226|Boeing 717|ACTIVE
AL0001|EI0004|Boeing 707|ACTIVE
AL0001|EI0269|Boeing 767|ACTIVE
AL0001|EI0040|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0252|AirBus A330|ACTIVE
AL0001|EI0261|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0038|Boeing 757|ACTIVE
AL0001|EI0075|Boeing 717|ACTIVE
AL0001|EI0071|AirBus A220|ACTIVE
AL0001|EI0131|AirBus A350 XWB|ACTIVE
AL0001|EI0294|Boeing 707|ACTIVE
AL0001|EI0292|AirBus A330neo|ACTIVE
AL0001|EI0286|AirBus A321|ACTIVE
AL0001|EI0057|AirBus A310|ACTIVE
AL0001|EI0223|AirBus A321|ACTIVE
AL0001|EI0004|AirBus A310|ACTIVE
AL0001|EI0081|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0007|Boeing 747|ACTIVE
AL0001|EI0093|Boeing 757|ACTIVE
AL0001|EI0278|AirBus A330|ACTIVE
AL0001|EI0149|Boeing 767|ACTIVE
AL0001|EI0194|Boeing 767|ACTIVE
AL0001|EI0129|AirBus A350 XWB|ACTIVE
AL0001|EI0201|AirBus A350 XWB|ACTIVE
AL0001|EI0284|Boeing 767|ACTIVE
AL0001|EI0022|AirBus A320|ACTIVE
AL0001|EI0105|Boeing 747|ACTIVE
AL0001|EI0051|Boeing 737|ACTIVE
AL0001|EI0054|Boeing 747|ACTIVE
AL0001|EI0289|Boeing 707|ACTIVE
AL0001|EI0142|Boeing 757|ACTIVE
AL0001|EI0212|AirBus A330neo|ACTIVE
AL0001|EI0125|Boeing 717|ACTIVE
AL0001|EI0028|AirBus A319|ACTIVE
AL0001|EI0000|Boeing 737|ACTIVE
AL0001|EI0148|Boeing 717|ACTIVE
AL0001|EI0080|AirBus A330neo|ACTIVE
AL0001|EI0059|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0299|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0100|AirBus A321XLR|ACTIVE
AL0001|EI0275|AirBus A321XLR|ACTIVE
AL0001|EI0197|Boeing 717|ACTIVE
AL0001|EI0103|AirBus A340|ACTIVE
AL0001|EI0134|AirBus A330neo|ACTIVE
AL0001|EI0242|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0060|AirBus A330neo|ACTIVE
AL0001|EI0061|Boeing 767|ACTIVE
AL0001|EI0231|Boeing 777|ACTIVE
AL0001|EI0171|AirBus A330|ACTIVE
AL0001|EI0027|AirBus A310|ACTIVE
AL0001|EI0151|AirBus A319|ACTIVE
AL0001|EI0097|AirBus A340|ACTIVE
AL0001|EI0187|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0256|AirBus A319|ACTIVE
AL0001|EI0009|AirBus A350 XWB|ACTIVE
AL0001|EI0284|Boeing 707|ACTIVE
AL0001|EI0170|Boeing 767|ACTIVE
AL0001|EI0282|Boeing 747|ACTIVE
AL0001|EI0184|Boeing 757|ACTIVE
AL0001|EI0073|AirBus A330|ACTIVE
AL0001|EI0153|AirBus A350 XWB|ACTIVE
AL0001|EI0161|AirBus A330neo|ACTIVE
AL0001|EI0094|AirBus A310|ACTIVE
AL0001|EI0000|AirBus A321|ACTIVE
AL0001|EI0133|AirBus A340|ACTIVE
AL0001|EI0185|AirBus A321|ACTIVE
AL0001|EI0234|Boeing 757|ACTIVE
AL0001|EI0002|AirBus A330neo|ACTIVE
AL0001|EI0113|Boeing 707|ACTIVE
AL0001|EI0184|AirBus A330neo|ACTIVE
AL0001|EI0288|AirBus A330neo|ACTIVE
AL0001|EI0237|Boeing 717|ACTIVE
AL0001|EI0189|AirBus A319|ACTIVE
AL0001|EI0262|Boeing 737|ACTIVE
AL0001|EI0001|AirBus A330|ACTIVE
AL0001|EI0050|AirBus A310|ACTIVE
AL0001|EI0252|Boeing 757|ACTIVE
AL0001|EI0087|AirBus A321|ACTIVE
AL0001|EI0014|AirBus A350 XWB|ACTIVE
AL0001|EI0073|AirBus A330neo|ACTIVE
AL0001|EI0278|Boeing 707|ACTIVE
AL0001|EI0289|AirBus A310|ACTIVE
AL0001|EI0287|AirBus A321XLR|ACTIVE
AL0001|EI0257|AirBus A350 XWB|ACTIVE
AL0001|EI0281|AirBus A330|ACTIVE
AL0001|EI0201|AirBus A330neo|ACTIVE
AL0001|EI0242|AirBus A310|ACTIVE
AL0001|EI0227|AirBus A380|ACTIVE
AL0001|EI0044|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0209|Boeing 717|ACTIVE
AL0001|EI0070|Boeing 717|ACTIVE
AL0001|EI0106|AirBus A319|ACTIVE
AL0001|EI0022|Boeing 777|ACTIVE
AL0001|EI0173|AirBus A319|ACTIVE
AL0001|EI0088|AirBus A320|ACTIVE
AL0001|EI0235|AirBus A310|ACTIVE
AL0001|EI0150|Boeing 727|ACTIVE
AL0001|EI0185|Boeing 757|ACTIVE
AL0001|EI0118|AirBus A321|ACTIVE
AL0001|EI0248|AirBus A380|ACTIVE
AL0001|EI0294|Boeing 727|ACTIVE
AL0001|EI0151|AirBus A321XLR|ACTIVE
AL0001|EI0253|AirBus A320|ACTIVE
AL0001|EI0249|AirBus A320|ACTIVE
AL0001|EI0265|Boeing 727|ACTIVE
AL0001|EI0151|AirBus A321XLR|ACTIVE
AL0001|EI0039|Boeing 777|ACTIVE
AL0001|EI0297|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0083|Boeing 707|ACTIVE
AL0002|SU0043|AirBus A320|ACTIVE
AL0002|SU0042|Boeing 747|ACTIVE
AL0002|SU0082|AirBus A319|ACTIVE
AL0002|SU0087|AirBus A319|ACTIVE
AL0002|SU0279|Boeing 707|ACTIVE
AL0002|SU0022|Boeing 767|ACTIVE
AL0002|SU0197|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0059|AirBus A321|ACTIVE
AL0002|SU0041|Boeing 707|ACTIVE
AL0002|SU0169|Boeing 707|ACTIVE
AL0002|SU0048|AirBus A220|ACTIVE
AL0002|SU0276|AirBus A321|ACTIVE
AL0002|SU0002|AirBus A340|ACTIVE
AL0002|SU0290|AirBus A330neo|ACTIVE
AL0002|SU0251|AirBus A319|ACTIVE
AL0002|SU0018|AirBus A380|ACTIVE
AL0002|SU0129|Boeing 767|ACTIVE
AL0002|SU0155|AirBus A321XLR|ACTIVE
AL0002|SU0149|Boeing 747|ACTIVE
AL0002|SU0097|Boeing 777|ACTIVE
AL0002|SU0078|AirBus A220|ACTIVE
AL0002|SU0082|AirBus A340|ACTIVE
AL0002|SU0293|AirBus A310|ACTIVE
AL0002|SU0046|Boeing 747|ACTIVE
AL0002|SU0197|Boeing 737|ACTIVE
AL0002|SU0237|Boeing 777|ACTIVE
AL0002|SU0293|AirBus A319|ACTIVE
AL0002|SU0013|AirBus A310|ACTIVE
AL0002|SU0133|Boeing 777|ACTIVE
AL0002|SU0136|AirBus A319|ACTIVE
AL0002|SU0100|AirBus A380|ACTIVE
AL0002|SU0198|Boeing 737|ACTIVE
AL0002|SU0182|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0067|AirBus A330|ACTIVE
AL0002|SU0174|Boeing 777|ACTIVE
AL0002|SU0137|Boeing 757|ACTIVE
AL0002|SU0006|AirBus A319|ACTIVE
AL0002|SU0110|Boeing 737|ACTIVE
AL0002|SU0058|Boeing 707|ACTIVE
AL0002|SU0214|AirBus A340|ACTIVE
AL0002|SU0078|Boeing 717|ACTIVE
AL0002|SU0110|AirBus A340|ACTIVE
AL0002|SU0081|AirBus A380|ACTIVE
AL0002|SU0142|Boeing 747|ACTIVE
AL0002|SU0002|Boeing 747|ACTIVE
AL0002|SU0298|AirBus A350 XWB|ACTIVE
AL0002|SU0248|Boeing 737|ACTIVE
AL0002|SU0136|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0081|AirBus A380|ACTIVE
AL0002|SU0128|Boeing 747|ACTIVE
AL0002|SU0182|Boeing 717|ACTIVE
AL0002|SU0147|AirBus A220|ACTIVE
AL0002|SU0294|Boeing 767|ACTIVE
AL0002|SU0286|Boeing 777|ACTIVE
AL0002|SU0081|AirBus A340|ACTIVE
AL0002|SU0199|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0220|AirBus A350 XWB|ACTIVE
AL0002|SU0013|Boeing 787 Dreamliner|ACTIVE
AL0002|SU0030|AirBus A321|ACTIVE
AL0002|SU0278|AirBus A310|ACTIVE
AL0002|SU0028|Boeing 747|ACTIVE
AL0002|SU0148|AirBus A330neo|ACTIVE
AL0002|SU0206|AirBus A321|ACTIVE
AL0002|SU0242|AirBus A330|ACTIVE
AL0002|SU0065|AirBus A340|ACTIVE
AL0002|SU0217|AirBus A350 XWB|ACTIVE
AL0002|SU0099|AirBus A350 XWB|ACTIVE
AL0002|SU0292|AirBus A380|ACTIVE
AL0002|SU0280|Boeing 707|ACTIVE
AL0002|SU0266|Boeing 707|ACTIVE
AL0002|SU0039|AirBus A310|ACTIVE
AL0002|SU0198|Boeing 727|ACTIVE
AL0002|SU0184|Boeing 757|ACTIVE
AL0002|SU0125|AirBus A320|ACTIVE
AL0002|SU0294|AirBus A310|ACTIVE
AL0002|SU0260|AirBus A321XLR|ACTIVE
AL0002|SU0138|Boeing 707|ACTIVE
AL0002|SU0014|Boeing 727|ACTIVE
AL0002|SU0165|Boeing 707|ACTIVE
AL0002|SU0129|Boeing 717|ACTIVE
AL0002|SU0294|Boeing 717|ACTIVE
AL0002|SU0038|Boeing 727|ACTIVE
AL0002|SU0259|Boeing 727|ACTIVE
AL0002|SU0006|Boeing 727|ACTIVE
AL0002|SU0095|AirBus A220|ACTIVE
AL0002|SU0025|Boeing 737|ACTIVE
AL0002|SU0210|Boeing 737|ACTIVE
AL0002|SU0101|AirBus A350 XWB|ACTIVE
AL0002|SU0229|Boeing 727|ACTIVE
AL0002|SU0153|Boeing 767|ACTIVE
AL0002|SU0150|AirBus A321|ACTIVE
AL0002|SU0294|AirBus A330neo|ACTIVE
AL0002|SU0128|Boeing 767|ACTIVE
AL0002|SU0147|Boeing 707|ACTIVE
AL0002|SU0075|AirBus A330neo|ACTIVE
AL0002|SU0231|Boeing 747|ACTIVE
AL0002|SU0284|Boeing 777|ACTIVE
AL0002|SU0060|Boeing 717|ACTIVE
AL0002|SU0128|Boeing 707|ACTIVE
AL0002|SU0042|AirBus A319|ACTIVE
AL0002|SU0117|Boeing 757|ACTIVE
AL0002|SU0082|AirBus A321XLR|ACTIVE
AL0002|SU0285|AirBus A350 XWB|ACTIVE
AL0002|SU0224|Boeing 767|ACTIVE
AL0002|SU0161|Boeing 727|ACTIVE
AL0002|SU0249|Boeing 727|ACTIVE
AL0002|SU0286|Boeing 777|ACTIVE
AL0002|SU0216|AirBus A220|ACTIVE
AL0002|SU0153|Boeing 747|ACTIVE
AL0002|SU0239|AirBus A220|ACTIVE
AL0002|SU0262|Boeing 767|ACTIVE
AL0002|SU0214|Boeing 767|ACTIVE
AL0002|SU0124|AirBus A320|ACTIVE
AL0002|SU0042|Boeing 737|ACTIVE
AL0002|SU0227|Boeing 727|ACTIVE
AL0002|SU0048|AirBus A330neo|ACTIVE
AL0002|SU0072|Boeing 737|ACTIVE
AL0002|SU0242|AirBus A319|ACTIVE
AL0002|SU0143|Boeing 727|ACTIVE
AL0002|SU0080|Boeing 717|ACTIVE
AL0002|SU0082|AirBus A319|ACTIVE
AL0002|SU0068|AirBus A330|ACTIVE
AL0002|SU0103|Boeing 717|ACTIVE
AL0002|SU0025|AirBus A321|ACTIVE
AL0002|SU0086|Boeing 727|ACTIVE
AL0002|SU0132|AirBus A321|ACTIVE
AL0002|SU0179|Boeing 747|ACTIVE
AL0002|SU0217|AirBus A340|ACTIVE
AL0002|SU0199|AirBus A380|ACTIVE
AL0003|G90193|AirBus A340|ACTIVE
AL0003|G90219|Boeing 757|ACTIVE
AL0003|G90142|AirBus A350 XWB|ACTIVE
AL0003|G90096|AirBus A330|ACTIVE
AL0003|G90165|Boeing 757|ACTIVE
AL0003|G90290|AirBus A330|ACTIVE
AL0003|G90010|AirBus A330neo|ACTIVE
AL0003|G90111|AirBus A330|ACTIVE
AL0003|G90296|AirBus A321|ACTIVE
AL0003|G90162|AirBus A321|ACTIVE
AL0003|G90181|Boeing 787 Dreamliner|ACTIVE
AL0003|G90208|AirBus A310|ACTIVE
AL0003|G90074|AirBus A350 XWB|ACTIVE
AL0003|G90255|AirBus A330|ACTIVE
AL0003|G90224|Boeing 727|ACTIVE
AL0003|G90184|AirBus A340|ACTIVE
AL0003|G90258|AirBus A330|ACTIVE
AL0003|G90143|Boeing 787 Dreamliner|ACTIVE
AL0003|G90259|Boeing 727|ACTIVE
AL0003|G90203|AirBus A330neo|ACTIVE
AL0003|G90266|AirBus A330neo|ACTIVE
AL0003|G90066|AirBus A220|ACTIVE
AL0003|G90163|Boeing 767|ACTIVE
AL0003|G90254|Boeing 787 Dreamliner|ACTIVE
AL0003|G90058|Boeing 777|ACTIVE
AL0003|G90010|AirBus A340|ACTIVE
AL0003|G90248|AirBus A330|ACTIVE
AL0003|G90230|AirBus A321|ACTIVE
AL0003|G90143|Boeing 747|ACTIVE
AL0003|G90108|AirBus A321|ACTIVE
AL0003|G90072|AirBus A330|ACTIVE
AL0003|G90226|Boeing 707|ACTIVE
AL0003|G90255|AirBus A350 XWB|ACTIVE
AL0003|G90009|Boeing 777|ACTIVE
AL0003|G90047|Boeing 717|ACTIVE
AL0003|G90242|Boeing 777|ACTIVE
AL0003|G90032|AirBus A320|ACTIVE
AL0003|G90044|Boeing 777|ACTIVE
AL0003|G90261|AirBus A350 XWB|ACTIVE
AL0003|G90223|AirBus A330|ACTIVE
AL0003|G90195|AirBus A350 XWB|ACTIVE
AL0003|G90298|Boeing 727|ACTIVE
AL0003|G90216|Boeing 707|ACTIVE
AL0003|G90250|AirBus A330neo|ACTIVE
AL0003|G90031|AirBus A340|ACTIVE
AL0003|G90000|AirBus A321XLR|ACTIVE
AL0003|G90012|AirBus A350 XWB|ACTIVE
AL0003|G90101|AirBus A340|ACTIVE
AL0003|G90021|Boeing 757|ACTIVE
AL0003|G90089|AirBus A340|ACTIVE
AL0003|G90107|Boeing 747|ACTIVE
AL0003|G90227|AirBus A330|ACTIVE
AL0003|G90278|Boeing 767|ACTIVE
AL0003|G90157|AirBus A321|ACTIVE
AL0003|G90259|Boeing 757|ACTIVE
AL0003|G90018|AirBus A320|ACTIVE
AL0003|G90242|AirBus A330|ACTIVE
AL0003|G90017|AirBus A220|ACTIVE
AL0003|G90093|AirBus A330neo|ACTIVE
AL0003|G90016|AirBus A310|ACTIVE
AL0003|G90160|Boeing 747|ACTIVE
AL0003|G90227|AirBus A340|ACTIVE
AL0003|G90005|Boeing 737|ACTIVE
AL0003|G90249|AirBus A321XLR|ACTIVE
AL0003|G90279|Boeing 727|ACTIVE
AL0003|G90274|AirBus A380|ACTIVE
AL0003|G90200|Boeing 707|ACTIVE
AL0003|G90108|Boeing 767|ACTIVE
AL0003|G90117|AirBus A340|ACTIVE
AL0003|G90020|Boeing 727|ACTIVE
AL0003|G90274|Boeing 777|ACTIVE
AL0003|G90174|AirBus A350 XWB|ACTIVE
AL0003|G90201|Boeing 717|ACTIVE
AL0003|G90109|Boeing 757|ACTIVE
AL0003|G90251|Boeing 717|ACTIVE
AL0003|G90246|AirBus A380|ACTIVE
AL0003|G90091|AirBus A220|ACTIVE
AL0003|G90147|Boeing 737|ACTIVE
AL0003|G90095|AirBus A220|ACTIVE
AL0003|G90069|AirBus A380|ACTIVE
AL0003|G90242|Boeing 717|ACTIVE
AL0003|G90089|AirBus A320|ACTIVE
AL0003|G90014|AirBus A340|ACTIVE
AL0003|G90031|AirBus A320|ACTIVE
AL0003|G90269|AirBus A340|ACTIVE
AL0003|G90273|Boeing 717|ACTIVE
AL0003|G90235|Boeing 787 Dreamliner|ACTIVE
AL0003|G90015|AirBus A320|ACTIVE
AL0003|G90157|AirBus A321|ACTIVE
AL0003|G90159|AirBus A330neo|ACTIVE
AL0003|G90002|Boeing 727|ACTIVE
AL0003|G90120|Boeing 737|ACTIVE
AL0003|G90221|Boeing 777|ACTIVE
AL0003|G90171|Boeing 767|ACTIVE
AL0003|G90114|AirBus A321XLR|ACTIVE
AL0003|G90235|Boeing 767|ACTIVE
AL0003|G90225|Boeing 767|ACTIVE
AL0003|G90033|AirBus A220|ACTIVE
AL0003|G90224|AirBus A350 XWB|ACTIVE
AL0003|G90257|Boeing 707|ACTIVE
AL0003|G90086|AirBus A321|ACTIVE
AL0003|G90132|Boeing 727|ACTIVE
AL0003|G90002|AirBus A330neo|ACTIVE
AL0003|G90050|Boeing 787 Dreamliner|ACTIVE
AL0003|G90243|AirBus A310|ACTIVE
AL0003|G90011|AirBus A340|ACTIVE
AL0003|G90164|Boeing 747|ACTIVE
AL0003|G90063|Boeing 737|ACTIVE
AL0003|G90281|AirBus A330neo|ACTIVE
AL0003|G90042|AirBus A340|ACTIVE
AL0003|G90257|Boeing 757|ACTIVE
AL0003|G90160|Boeing 707|ACTIVE
AL0003|G90226|AirBus A340|ACTIVE
AL0003|G90205|AirBus A380|ACTIVE
AL0003|G90030|AirBus A320|ACTIVE
AL0003|G90167|Boeing 747|ACTIVE
AL0003|G90124|AirBus A321|ACTIVE
AL0003|G90169|AirBus A330|ACTIVE
AL0003|G90155|AirBus A321|ACTIVE
AL0003|G90247|AirBus A321|ACTIVE
AL0003|G90296|AirBus A340|ACTIVE
AL0003|G90235|AirBus A319|ACTIVE
AL0003|G90275|AirBus A350 XWB|ACTIVE
AL0003|G90270|AirBus A350 XWB|ACTIVE
AL0003|G90105|AirBus A380|ACTIVE
AL0003|G90245|AirBus A380|ACTIVE
AL0003|G90033|AirBus A330|ACTIVE
AL0003|G90230|Boeing 707|ACTIVE
AL0003|G90148|AirBus A321XLR|ACTIVE
AL0003|G90173|AirBus A330|ACTIVE
AL0004|AK0224|AirBus A310|ACTIVE
AL0004|AK0242|AirBus A321|ACTIVE
AL0004|AK0201|AirBus A220|ACTIVE
AL0004|AK0039|Boeing 707|ACTIVE
AL0004|AK0028|Boeing 757|ACTIVE
AL0004|AK0145|Boeing 727|ACTIVE
AL0004|AK0019|Boeing 757|ACTIVE
AL0004|AK0075|AirBus A380|ACTIVE
AL0004|AK0074|AirBus A321|ACTIVE
AL0004|AK0231|Boeing 777|ACTIVE
AL0004|AK0061|AirBus A340|ACTIVE
AL0004|AK0276|AirBus A220|ACTIVE
AL0004|AK0030|Boeing 757|ACTIVE
AL0004|AK0009|AirBus A350 XWB|ACTIVE
AL0004|AK0196|AirBus A380|ACTIVE
AL0004|AK0255|AirBus A350 XWB|ACTIVE
AL0004|AK0213|AirBus A350 XWB|ACTIVE
AL0004|AK0021|Boeing 737|ACTIVE
AL0004|AK0227|AirBus A319|ACTIVE
AL0004|AK0087|AirBus A320|ACTIVE
AL0004|AK0191|Boeing 757|ACTIVE
AL0004|AK0110|Boeing 737|ACTIVE
AL0004|AK0172|Boeing 727|ACTIVE
AL0004|AK0061|AirBus A319|ACTIVE
AL0004|AK0166|AirBus A350 XWB|ACTIVE
AL0004|AK0117|Boeing 707|ACTIVE
AL0004|AK0246|Boeing 747|ACTIVE
AL0004|AK0102|Boeing 717|ACTIVE
AL0004|AK0220|Boeing 787 Dreamliner|ACTIVE
AL0004|AK0237|Boeing 747|ACTIVE
AL0004|AK0250|Boeing 747|ACTIVE
AL0004|AK0192|Boeing 777|ACTIVE
AL0004|AK0032|Boeing 727|ACTIVE
AL0004|AK0055|AirBus A340|ACTIVE
AL0004|AK0025|Boeing 767|ACTIVE
AL0004|AK0292|AirBus A320|ACTIVE
AL0004|AK0279|AirBus A340|ACTIVE
AL0004|AK0070|AirBus A220|ACTIVE
AL0004|AK0022|AirBus A330|ACTIVE
AL0004|AK0078|Boeing 707|ACTIVE
AL0004|AK0250|Boeing 707|ACTIVE
AL0004|AK0140|AirBus A310|ACTIVE
AL0004|AK0130|AirBus A220|ACTIVE
AL0004|AK0012|Boeing 727|ACTIVE
AL0004|AK0016|AirBus A350 XWB|ACTIVE
AL0004|AK0058|AirBus A330|ACTIVE
AL0004|AK0094|AirBus A330neo|ACTIVE
AL0004|AK0023|Boeing 747|ACTIVE
AL0004|AK0163|AirBus A310|ACTIVE
AL0004|AK0096|AirBus A319|ACTIVE
AL0004|AK0119|AirBus A340|ACTIVE
AL0004|AK0003|Boeing 707|ACTIVE
AL0004|AK0281|AirBus A321|ACTIVE
